id,code,name,category,_source_xlsx
2,MT01-MEGT-MMCMP-002,异形定制不锈钢-折弯件,定制金属制品,不锈钢.xlsx
5,MT08-MEGT-MMCMP-003,装饰零件-柜门拉手,五金杂件及工程灯具,五金杂件.xlsx
7,MT08-MEGT-MMCMP-004,"祥云拉手 红
古 1200mm",五金杂件及工程灯具,五金杂件.xlsx
9,MT08-MEGT-MMCMP-005,铜角花-L,五金杂件及工程灯具,五金杂件.xlsx
10,MT08-MEGT-MMCMP-005,铜角花-T,五金杂件及工程灯具,五金杂件.xlsx
11,MT08-MEGT-MMCMP-004,铜片,五金杂件及工程灯具,五金杂件.xlsx
15,MT08-MEGT-MMCMP-003,"装饰零件-
20公分铜狮头",五金杂件及工程灯具,五金杂件.xlsx
17,MT06-GYQH-HWNIL-001,射钉-F30直钉,五金杂件及工程灯具,五金杂件.xlsx
18,MT06-GYQH-HWNIL-001,射钉-T50直钉,五金杂件及工程灯具,五金杂件.xlsx
57,,墙裙-普通款,定制中式建筑结构,古建木结构.xlsx
59,,木料-方条方木,定制中式建筑结构,古建木结构.xlsx
62,WD012-WDAM-ABPED-005,木部件-悬鱼,定制中式建筑结构,古建木结构.xlsx
63,WD012-WDAM-ABPED-005,"木部件-
雕刻龙头",定制中式建筑结构,古建木结构.xlsx
69,WD012-WDAM-ABPED-005,基础古建结构-椽,定制中式建筑结构,古建木结构.xlsx
72,,"基础古建结构
-圆立柱",定制中式建筑结构,古建木结构.xlsx
80,WD08-WDAM-ABCOL-002,"高隔断-
镂空雕花单面隔断",定制中式建筑结构,古建木结构.xlsx
88,,柜-定制柜体,定制活动家具及软装物料,定制柜体.xlsx
92,CE11-BKCH-HWELI-004,灯带-高压灯带,五金杂件及工程灯具,工程灯具.xlsx
93,CE11-BKCH-HWELI-004,灯带-低压灯带,五金杂件及工程灯具,工程灯具.xlsx
109,WD08-WDAM-MFTBL-005,桌椅-衣服娄,定制活动家具及软装物料,桌椅.xlsx
110,WD08-WDAM-MFTBL-001,桌椅-圆桌,定制活动家具及软装物料,桌椅.xlsx
111,WD08-WDAM-MFTBL-001,桌椅-圆桌,定制活动家具及软装物料,桌椅.xlsx
117,WD08-WDAM-MFTBL-005,桌椅-迎宾台,定制活动家具及软装物料,桌椅.xlsx
135,ST012-GYHG-ABPED-001,方形雕花柱础,定制石材制品,石材.xlsx
136,ST012-GYHG-ABPED-001,方形雕花柱础,定制石材制品,石材.xlsx
137,ST012-GYHG-ABPED-002,1/2八边雕花柱础,定制石材制品,石材.xlsx
138,ST012-GYHG-ABPED-002,1/4八边雕花柱础,定制石材制品,石材.xlsx
151,CE01-GYHG-ABMRR-001,青砖-旧青砖片,砖瓦,砖瓦.xlsx
154,CE01-GYHG-ABMRR-001,翘角-筒瓦翘角,砖瓦,砖瓦.xlsx
156,WD08-WDAM-ABCOL-002,风头-三星脊风头,砖瓦,砖瓦.xlsx
157,CMO4-MEGT-CACAW-002,"仿真盆栽-
普通绿植盆栽",定制活动家具及软装物料,软装.xlsx
160,CMO4-MEGT-CACAW-002,红鱼,定制活动家具及软装物料,软装.xlsx
161,RDEH FB07-MFCCU-001,窗帘-纺织本体,定制活动家具及软装物料,软装.xlsx
162,RDEH FB07-MFCCU-001,门帘-人造皮革,定制活动家具及软装物料,软装.xlsx
163,RDEH FB07-MFHGB-002,挂画-定制荣誉牌挂画,定制活动家具及软装物料,软装.xlsx
165,RDEH FB07-MFHGB-002,挂画-包间牌匾,定制活动家具及软装物料,软装.xlsx
178,MT01-MEGT-MMCMP-002,定制黄铜龙摆件（锅具配件）,厨房电器及设备,锅具.xlsx
